geocode;x_coor;y_coor;y;ols_residual;mgwr_yhat;mgwr_residual;localR2;beta_Intercept;beta_womanjh;beta_infants;beta_senior;beta_migrants;beta_land_value;beta_home40pp;beta_overcrowd;beta_no_college;se_Intercept;se_womanjh;se_infants;se_senior;se_migrants;se_land_value;se_home40pp;se_overcrowd;se_no_college;t_Intercept;t_womanjh;t_infants;t_senior;t_migrants;t_land_value;t_home40pp;t_overcrowd;t_no_college;p_Intercept;p_womanjh;p_infants;p_senior;p_migrants;p_land_value;p_home40pp;p_overcrowd;p_no_college;sumW_Intercept;sumW_womanjh;sumW_infants;sumW_senior;sumW_migrants;sumW_land_value;sumW_home40pp;sumW_overcrowd;sumW_no_college
13104011003;-70.609;-33.55;0.61205946;0.388805042;0.386771995;0.225287465;0.377837253;0.156455595;0.230183048;-0.217015743;0.10702649;-0.102767459;-0.018183657;-0.160953339;0.216021007;0.134793607;0.049392279;0.301022389;0.098370166;0.075797163;0.128266537;0.021805789;0.068353392;0.066817386;0.063305882;3.167612392;0.764670858;-2.206113403;1.412011814;-0.801202415;-0.833891262;-2.354723496;3.233005966;2.129243017;0.001565222;0.444577375;0.027514012;0.158135845;0.423130322;0.404463478;0.018653577;0.001249247;0.033382488;63.72096754;18.48617531;29.12427745;44.6228167;25.20521545;1432.441386;132.7415925;24.35363854;1432.441386
13104021001;-70.605;-33.549;0.39425068;0.007848381;0.498154561;-0.10390388;0.448489479;0.146187822;0.29299658;-0.242647207;0.143163907;-0.121456768;-0.018190283;-0.156113157;0.207120612;0.13480507;0.049224825;0.290353573;0.098916513;0.075038031;0.124511655;0.021805813;0.06827302;0.065546965;0.063305538;2.969798749;1.00910272;-2.453050548;1.907884643;-0.975465054;-0.834194207;-2.286601027;3.159881022;2.12943565;0.003023154;0.313073959;0.014268326;0.056580295;0.329473224;0.404292821;0.022345835;0.001607094;0.033366537;64.77012376;18.49970174;31.09330223;45.4276592;26.69301906;1432.322566;140.7225071;25.70746407;1432.322566
13104021002;-70.6;-33.549;0.700729486;0.597219588;0.329477967;0.371251519;0.507866468;0.134549466;0.321408866;-0.277614536;0.191353926;-0.171671574;-0.018197758;-0.151475903;0.197756825;0.134813139;0.048935769;0.279735466;0.099976325;0.073877834;0.123882215;0.021805782;0.068293437;0.064604921;0.063305102;2.749511619;1.148974314;-2.77680276;2.590139913;-1.385764481;-0.834538193;-2.218015518;3.061017976;2.129577778;0.006033798;0.250733809;0.005551972;0.009678522;0.166006895;0.404099096;0.026690082;0.002241599;0.033354772;66.67920024;17.89009578;29.65363042;46.14987936;24.64621965;1430.857325;146.0936023;24.64621965;1430.857325
13104021003;-70.592;-33.549;0.846259803;0.285674315;1.055703779;-0.209443976;0.639906566;0.110507554;0.270097686;-0.383177368;0.278903358;-0.279109854;-0.018209385;-0.148627685;0.183645006;0.134825731;0.047877882;0.29858219;0.096914546;0.074573609;0.118313518;0.021805752;0.068314074;0.065550633;0.063304443;2.30811285;0.904600793;-3.953765301;3.739973974;-2.359069869;-0.835072571;-2.175652491;2.801574853;2.129798854;0.021116537;0.365809536;8.02E-05;0.000190356;0.018437276;0.403798259;0.029723373;0.005145004;0.033336479;70.34465897;14.27170424;25.20491788;42.798347;20.97456122;1427.952717;151.6118893;20.76213847;1427.952717
13104021004;-70.572;-33.551;1.636821023;1.378222888;0.185808368;1.451012655;0.982018048;0.05491981;-1.580126204;-0.53083508;0.304698243;-0.159977331;-0.018235785;-0.153177198;0.148896176;0.134846603;0.04786644;0.038598802;0.092829859;0.077821389;0.0518107;0.021805666;0.067976969;0.070642283;0.06330294;1.147355208;-40.93718294;-5.718365667;3.915353416;-3.087727666;-0.836286547;-2.253369035;2.107748633;2.130179129;0.251401889;3.95E-253;1.28E-08;9.40E-05;0.002050675;0.403115328;0.024367274;0.035203875;0.033305033;63.01342041;14.98635556;24.51498337;40.9552797;22.07569893;1416.452865;158.3868866;21.2736144;1416.452865
13104031001;-70.583;-33.552;-0.049319371;-0.295478615;0.508277556;-0.557596927;0.977659337;0.097996601;-1.570902321;-0.512709213;0.336497314;-0.304376394;-0.018220473;-0.150679076;0.205124143;0.134825614;0.047753232;0.038555949;0.086579382;0.078054346;0.067410562;0.021805592;0.068095868;0.071430986;0.063303696;2.052145931;-40.7434484;-5.921839639;4.311064408;-4.515262692;-0.83558721;-2.212749189;2.871640918;2.12982215;0.040313638;2.01E-251;3.87E-09;1.72E-05;6.77E-06;0.40350866;0.027051978;0.004135834;0.033334552;69.28209249;14.3577312;22.52521941;39.90870892;20.11697488;1421.533629;158.8013666;19.57937792;1421.533629
13104031002;-70.591;-33.552;-0.340129912;-0.173961332;-0.200352045;-0.139777867;0.866445289;0.123476174;0.119577256;-0.400881466;0.278118773;-0.29378412;-0.018209263;-0.150223605;0.209319634;0.134813183;0.048435676;0.285339003;0.092477449;0.074571052;0.101865924;0.021805594;0.068141666;0.06859903;0.063304306;2.549281502;0.41907084;-4.334910522;3.729580944;-2.884027443;-0.835073013;-2.204577821;3.051349753;2.129605249;0.010884706;0.675219141;1.55E-05;0.000198312;0.003977391;0.40379801;0.027621896;0.002314635;0.033352498;69.38448703;14.7327022;25.23455064;44.35541828;20.30412973;1425.099783;157.0159993;20.15823734;1425.099783
13104031003;-70.599;-33.552;0.114411216;0.318470605;-0.033988248;0.148399464;0.527002697;0.142181332;0.27219638;-0.278087335;0.194097287;-0.208551047;-0.018197661;-0.152195047;0.220192766;0.134800364;0.049096407;0.284752298;0.101565386;0.074764877;0.115702658;0.021805617;0.068234671;0.064766734;0.06330496;2.895962069;0.955905823;-2.738012893;2.59610255;-1.802474131;-0.834540076;-2.230465014;3.399781832;2.12938075;0.003829968;0.339260441;0.006247863;0.009512849;0.07165404;0.404098037;0.025851168;0.000690537;0.033371082;68.38460744;17.49280928;29.13221663;45.95538839;25.3790857;1428.026584;148.326271;24.03779187;1428.026584
13104031004;-70.565;-33.555;0.293237403;0.45900069;0.482513504;-0.189276101;0.980786803;0.038472443;-1.580440323;-0.491340055;0.25872458;-0.097315871;-0.018242827;-0.156074733;0.084460289;0.134838858;0.048191399;0.038451611;0.092833359;0.076405235;0.049163207;0.021805509;0.067703219;0.076877424;0.063302407;0.798325927;-41.10205781;-5.292710069;3.386215348;-1.979445151;-0.836615521;-2.30527787;1.098635785;2.130074738;0.42479675;1.40E-254;1.37E-07;0.000725345;0.047932587;0.40293038;0.021275094;0.272087928;0.033313662;62.45299402;17.00978617;27.74349713;43.07594625;23.01689049;1409.068629;157.1178222;22.29368246;1409.068629
13104031005;-70.608;-33.553;0.29264375;0.331199963;0.289061505;0.003582245;0.382712571;0.161005697;0.175806376;-0.209773549;0.106413027;-0.118376461;-0.018183568;-0.161839239;0.235409297;0.13478053;0.04971921;0.306955513;0.100538525;0.075852741;0.122320131;0.021805616;0.068285038;0.066199044;0.063305735;3.238299561;0.572742202;-2.086499166;1.402889669;-0.967759436;-0.833893779;-2.370054164;3.556083014;2.129041406;0.001226441;0.566897626;0.037087294;0.160838678;0.333306958;0.40446206;0.017900397;0.000387095;0.03339919;64.87489954;19.64449863;29.66642155;46.87744645;27.16011035;1429.608526;136.3902274;25.98933539;1429.608526
