Comuna_Establecimiento;LATITUD;LONGITUD;Cuenta de NOM_ESTAB;Matriculas
CERRO NAVIA_EL CARRUSEL;-33.414369;-70.760083;124;124
CERRO NAVIA_ESC BAS PART CENTRO EDUCACIONAL SN PABLO;-33.42456568;-70.73472538;49;49
CERRO NAVIA_ESC. ESP. PART. LA PAMPA;-33.42719;-70.71984999;12;12
CERRO NAVIA_ESC. ESPECIAL RUGENDAS;-33.426586;-70.72763999;128;128
CERRO NAVIA_ESCUELA ALIANZA;-33.41458837;-70.76228048;36;36
CERRO NAVIA_ESCUELA BASICA PARTICULAR HORIZONTE 11;-33.41676806;-70.74526117;65;65
CERRO NAVIA_ESCUELA BASICA PAULO FREIRE;-33.41771764;-70.72486933;42;42
CERRO NAVIA_ESCUELA CHARLES SCHOOL-DIURNA;-33.4332024;-70.7302413;51;51
CERRO NAVIA_ESCUELA CIUDAD SANTO DOMINGO DE GUZMAN;-33.43057297;-70.72993368;42;42
CERRO NAVIA_ESCUELA DE LENGUAJE SANTA TERESA;-33.438694;-70.72323;166;166
CERRO NAVIA_ESCUELA DIVINO MAESTRO;-33.41652302;-70.76745314;45;45
CERRO NAVIA_ESCUELA DOCTOR TREVISO GIRARDI TONELLI;-33.42046717;-70.72875941;48;48
CERRO NAVIA_ESCUELA ESP. ALTUE DE CERRO NAVIA;-33.426426;-70.742836;158;158
CERRO NAVIA_ESCUELA ESP. PART. CALIN;-33.418186;-70.7252;142;142
CERRO NAVIA_ESCUELA ESP. PART. PATAGONIA;-33.420578;-70.735466;60;60
CERRO NAVIA_ESCUELA ESPECIAL AGORA;-33.42759;-70.72036;30;30
CERRO NAVIA_ESCUELA ESPECIAL DE LENGUAJE PEQUEÑO COLIBRI;-70.74159;-33.42961;59;59
CERRO NAVIA_ESCUELA ESPECIAL EL CASTILLO ENCANTADO;-33.425404;-70.72308;89;89
CERRO NAVIA_ESCUELA ESPECIAL SGTO.CANDELARIA;-33.41836;-70.74417;10;10
CERRO NAVIA_ESCUELA FEDERICO ACEVEDO SALAZAR;-33.42075718;-70.75495826;80;80
CERRO NAVIA_ESCUELA GENERAL RENE ESCAURIAZA;-33.42559408;-70.74860244;51;51
CERRO NAVIA_ESCUELA HERMINDA DE LA VICTORIA;-33.42472532;-70.73740401;46;46
CERRO NAVIA_ESCUELA LEONARDO DA VINCI;-33.4275072;-70.74387557;45;45
CERRO NAVIA_ESCUELA MARIA LUISA BOMBAL;-33.41511572;-70.73662856;56;56
CERRO NAVIA_ESCUELA MILLAHUE;-33.419499;-70.74398051;42;42
CERRO NAVIA_ESCUELA PARTICULAR CARLOS PEZOA VELIZ;-33.42716637;-70.72888489;9;9
CERRO NAVIA_ESCUELA PARTICULAR ESPANA;-33.4192584;-70.72857503;64;64
CERRO NAVIA_ESCUELA PARTICULAR LA FRONTERA;-33.42382413;-70.74767301;70;70
CERRO NAVIA_ESCUELA PARTICULAR ROBERT KENNEDY;-33.42890672;-70.73414133;40;40
CERRO NAVIA_ESCUELA PARTICULAR SAN VICENTE FERRER;-33.41379214;-70.7449497;143;143
CERRO NAVIA_ESCUELA PRESIDENTE ROOSEVELT;-33.4340388;-70.73817167;57;57
CERRO NAVIA_ESCUELA PROF. MANUEL GUERRERO CEBALLOS;-33.41365608;-70.75287839;75;75
CERRO NAVIA_ESCUELA PROVINCIA DE ARAUCO;-33.42355907;-70.71978876;53;53
CERRO NAVIA_ESCUELA REPUBLICA DE CROACIA;-33.43412811;-70.73019633;40;40
CERRO NAVIA_ESCUELA REPUBLICA DE ITALIA;-33.42661641;-70.73442201;44;44
CERRO NAVIA_ESCUELA SARGENTO CANDELARIA;-33.42543238;-70.7417655;29;29
CERRO NAVIA_FANTASIA;-33.413907;-70.747528;163;163
CERRO NAVIA_GOTITAS DE AMOR;-33.420201;-70.7552;201;201
CERRO NAVIA_LAS ROSAS;-33.415214;-70.73786;143;143
CERRO NAVIA_LOMAS DEL PRADO;-33.420643;-70.760253;86;86
CERRO NAVIA_LOS ANGELITOS;-33.425482;-70.7317;127;127
CERRO NAVIA_LOS LAGOS;-33.41491997;-70.76579005;99;99
CERRO NAVIA_LOS PEQUES;-33.43646417;-70.7269963;179;179
CERRO NAVIA_PEQUEÑAS ILUSIONES;-33.416127;-70.756336;92;92
CERRO NAVIA_PEQUEÑOS TALENTOS;-33.427414;-70.759102;25;25
CERRO NAVIA_PIECECITOS DE NIÑOS;-33.41816;-70.747468;86;86
CERRO NAVIA_RAYEN MAPU;-33.4232202;-70.7537347;82;82
CERRO NAVIA_RELMU;-33.41743589;-70.72794315;156;156
