Mes_A–o;HousingUFm2;LandUFm2;IDSEHousing;m2;Sales;Ageofhousingbuilding;ConstructionCostsIndexCChC;Population;Wages;InterestRate;CopperPrices;IPSA;MoneySupply;LN_housingPrices;Index_HousingUFm2;Index_LandUFm2;Index_IDSEHousing;Index_m2;Index_Sales;Index_Ageofhousingbuilding;Index_ConstructionCostsIndexCChC;Index_Population;Index_Wages;Index_InterestRate;Index_CopperPrices;Index_IPSA;Index_MoneySupply;;;;;;;;;;;;;;;;
201001; 69,7 ; 8,8 ; 0,8 ; 105,7 ; 1.398,0 ; 82,6 ; 3.909,8 ; 5.176.239,0 ; 2,3 ; 4,6 ; 3,4 ; 3.809,0 ; 2.744,3 ; 4,2 ; 0,962 ; 0,998 ; 0,986 ; 1,020 ; 1,275 ; 1,256 ; 1,060 ; 1,012 ; 0,386 ; 0,934 ; 0,859 ; 1,232 ; 1,212 ;;;;;;;;;;;;;;;;
201002; 60,3 ; 8,3 ; 0,8 ; 92,5 ; 1.652,0 ; 61,1 ; 3.930,7 ; 5.179.684,0 ; 2,6 ; 4,6 ; 3,1 ; 3.827,4 ; 2.801,8 ; 4,1 ; 0,910 ; 1,004 ; 0,988 ; 0,948 ; 1,439 ; 1,113 ; 1,065 ; 1,013 ; 0,343 ; 0,942 ; 0,827 ; 1,258 ; 1,234 ;;;;;;;;;;;;;;;;
201003; 66,5 ; 8,0 ; 0,8 ; 82,0 ; 1.465,0 ; 64,8 ; 4.028,0 ; 5.183.129,0 ; 2,3 ; 4,3 ; 3,4 ; 3.763,1 ; 2.869,8 ; 4,2 ; 0,958 ; 0,982 ; 0,993 ; 0,854 ; 1,368 ; 1,114 ; 1,085 ; 1,013 ; 0,306 ; 0,897 ; 0,869 ; 1,251 ; 1,261 ;;;;;;;;;;;;;;;;
201004; 60,4 ; 8,7 ; 0,8 ; 126,0 ; 1.443,0 ; 64,3 ; 4.068,7 ; 5.186.574,0 ; 3,2 ; 4,1 ; 3,5 ; 3.865,5 ; 2.918,6 ; 4,1 ; 0,910 ; 1,029 ; 0,987 ; 1,131 ; 1,333 ; 1,109 ; 1,099 ; 1,014 ; 0,370 ; 0,862 ; 0,905 ; 1,273 ; 1,285 ;;;;;;;;;;;;;;;;
201005; 51,5 ; 7,9 ; 0,8 ; 100,5 ; 1.393,0 ; 51,0 ; 4.074,4 ; 5.190.019,0 ; 3,5 ; 4,2 ; 3,1 ; 3.886,9 ; 2.982,1 ; 3,9 ; 0,803 ; 0,979 ; 0,983 ; 1,037 ; 1,290 ; 0,947 ; 1,104 ; 1,015 ; 0,415 ; 0,860 ; 0,840 ; 1,284 ; 1,311 ;;;;;;;;;;;;;;;;
201006; 58,0 ; 9,7 ; 0,8 ; 104,6 ; 1.360,0 ; 65,4 ; 4.088,1 ; 5.193.464,0 ; 3,7 ; 4,1 ; 2,9 ; 4.065,3 ; 3.009,4 ; 4,1 ; 0,839 ; 1,117 ; 0,988 ; 1,037 ; 1,257 ; 1,072 ; 1,108 ; 1,015 ; 0,450 ; 0,842 ; 0,793 ; 1,329 ; 1,328 ;;;;;;;;;;;;;;;;
201007; 73,6 ; 8,6 ; 0,8 ; 81,6 ; 1.330,0 ; 48,0 ; 4.102,0 ; 5.196.909,0 ; 3,9 ; 4,0 ; 3,1 ; 4.364,2 ; 3.005,2 ; 4,3 ; 1,010 ; 1,063 ; 0,987 ; 0,877 ; 1,227 ; 0,900 ; 1,112 ; 1,016 ; 0,473 ; 0,831 ; 0,798 ; 1,412 ; 1,331 ;;;;;;;;;;;;;;;;
201008; 69,4 ; 9,1 ; 0,8 ; 90,3 ; 1.432,0 ; 63,8 ; 4.113,5 ; 5.200.354,0 ; 3,7 ; 4,1 ; 3,3 ; 4.525,0 ; 2.950,8 ; 4,2 ; 1,019 ; 1,086 ; 0,991 ; 0,890 ; 1,284 ; 1,038 ; 1,116 ; 1,017 ; 0,466 ; 0,834 ; 0,845 ; 1,474 ; 1,316 ;;;;;;;;;;;;;;;;
201009; 65,3 ; 9,1 ; 0,8 ; 92,0 ; 1.380,0 ; 55,0 ; 4.135,1 ; 5.203.799,0 ; 4,2 ; 4,0 ; 3,5 ; 4.795,4 ; 3.056,3 ; 4,2 ; 0,978 ; 1,095 ; 0,980 ; 0,906 ; 1,267 ; 0,973 ; 1,121 ; 1,017 ; 0,503 ; 0,825 ; 0,895 ; 1,556 ; 1,344 ;;;;;;;;;;;;;;;;
201010; 59,1 ; 9,6 ; 0,8 ; 105,5 ; 1.900,0 ; 58,6 ; 4.158,6 ; 5.207.244,0 ; 4,7 ; 4,1 ; 3,8 ; 4.912,5 ; 3.025,5 ; 4,1 ; 0,902 ; 1,139 ; 0,978 ; 1,004 ; 1,595 ; 0,997 ; 1,127 ; 1,018 ; 0,559 ; 0,843 ; 0,958 ; 1,607 ; 1,343 ;;;;;;;;;;;;;;;;
201011; 70,9 ; 9,1 ; 0,8 ; 81,6 ; 2.545,0 ; 54,2 ; 4.172,6 ; 5.210.689,0 ; 4,5 ; 4,4 ; 3,8 ; 4.957,0 ; 3.035,3 ; 4,3 ; 1,001 ; 1,112 ; 0,983 ; 0,868 ; 2,105 ; 0,952 ; 1,131 ; 1,019 ; 0,560 ; 0,878 ; 0,992 ; 1,633 ; 1,345 ;;;;;;;;;;;;;;;;
201012; 69,0 ; 9,7 ; 0,8 ; 105,1 ; 1.647,0 ; 62,1 ; 4.175,9 ; 5.214.134,0 ; 4,7 ; 4,4 ; 4,1 ; 4.927,5 ; 3.209,2 ; 4,2 ; 1,011 ; 1,159 ; 0,989 ; 0,990 ; 1,684 ; 1,033 ; 1,133 ; 1,019 ; 0,580 ; 0,892 ; 1,059 ; 1,634 ; 1,400 ;;;;;;;;;;;;;;;;
