Mes_A–o;HousingUFm2;LandUFm2;IDSEHousing;m2;Sales;Ageofhousingbuilding;ConstructionCostsIndexCChC;Population;Wages;InterestRate;CopperPrices;IPSA;MoneySupply;LN_housingPrices;Index_HousingUFm2;Index_LandUFm2;Index_IDSEHousing;Index_m2;Index_Sales;Index_Ageofhousingbuilding;Index_ConstructionCostsIndexCChC;Index_Population;Index_Wages;Index_InterestRate;Index_CopperPrices;Index_IPSA;Index_MoneySupply;;;;;;;;;;;;;;;;
201306; 34,9 ; 9,5 ; 0,8 ; 135,5 ; 4.442,0 ; 61,0 ; 4.870,4 ; 5.315.333,0 ; 5,7 ; 4,5 ; 3,2 ; 4.029,7 ; 4.335,1 ; 3,6 ; 0,508 ; 1,120 ; 0,950 ; 1,248 ; 4,203 ; 0,989 ; 1,321 ; 1,039 ; 0,724 ; 0,918 ; 0,842 ; 1,357 ; 1,918 ;;;;;;;;;;;;;;;;
201307; 32,4 ; 9,4 ; 0,7 ; 105,4 ; 5.234,0 ; 46,6 ; 4.873,7 ; 5.318.281,0 ; 5,1 ; 4,5 ; 3,1 ; 3.732,5 ; 4.346,9 ; 3,5 ; 0,486 ; 1,136 ; 0,946 ; 1,106 ; 4,607 ; 0,858 ; 1,323 ; 1,040 ; 0,663 ; 0,916 ; 0,826 ; 1,274 ; 1,925 ;;;;;;;;;;;;;;;;
201308; 35,0 ; 9,7 ; 0,8 ; 114,2 ; 3.919,0 ; 42,8 ; 4.890,5 ; 5.321.228,0 ; 5,7 ; 4,5 ; 3,3 ; 3.628,7 ; 4.303,2 ; 3,6 ; 0,506 ; 1,162 ; 0,947 ; 1,125 ; 3,887 ; 0,773 ; 1,326 ; 1,040 ; 0,694 ; 0,920 ; 0,845 ; 1,225 ; 1,914 ;;;;;;;;;;;;;;;;
201309; 32,3 ; 8,7 ; 0,7 ; 113,5 ; 2.959,0 ; 42,8 ; 4.897,9 ; 5.324.176,0 ; 5,8 ; 4,4 ; 3,2 ; 3.823,9 ; 4.567,4 ; 3,5 ; 0,485 ; 1,081 ; 0,943 ; 1,126 ; 3,058 ; 0,748 ; 1,329 ; 1,041 ; 0,715 ; 0,904 ; 0,849 ; 1,255 ; 1,992 ;;;;;;;;;;;;;;;;
201310; 34,3 ; 9,4 ; 0,8 ; 106,3 ; 5.074,0 ; 40,1 ; 4.903,7 ; 5.327.123,0 ; 5,6 ; 4,4 ; 3,3 ; 3.912,4 ; 4.493,9 ; 3,5 ; 0,499 ; 1,123 ; 0,950 ; 1,076 ; 4,161 ; 0,707 ; 1,331 ; 1,042 ; 0,698 ; 0,902 ; 0,853 ; 1,285 ; 1,993 ;;;;;;;;;;;;;;;;
201311; 36,7 ; 9,3 ; 0,8 ; 105,5 ; 4.612,0 ; 41,0 ; 4.878,0 ; 5.330.071,0 ; 5,4 ; 4,4 ; 3,2 ; 3.789,1 ; 4.490,2 ; 3,6 ; 0,528 ; 1,120 ; 0,952 ; 1,055 ; 4,197 ; 0,706 ; 1,326 ; 1,042 ; 0,676 ; 0,897 ; 0,844 ; 1,265 ; 1,992 ;;;;;;;;;;;;;;;;
201312; 35,7 ; 8,2 ; 0,7 ; 113,0 ; 2.973,0 ; 43,4 ; 4.915,0 ; 5.333.018,0 ; 5,5 ; 4,4 ; 3,3 ; 3.699,2 ; 4.693,2 ; 3,6 ; 0,526 ; 1,026 ; 0,941 ; 1,101 ; 3,160 ; 0,735 ; 1,332 ; 1,043 ; 0,682 ; 0,896 ; 0,852 ; 1,238 ; 2,055 ;;;;;;;;;;;;;;;;
201401; 36,6 ; 9,2 ; 0,8 ; 142,3 ; 5.116,0 ; 53,1 ; 4.857,8 ; 5.339.356,0 ; 5,8 ; 4,3 ; 3,3 ; 3.439,4 ; 4.743,0 ; 3,6 ; 0,536 ; 1,090 ; 0,950 ; 1,318 ; 4,218 ; 0,859 ; 1,323 ; 1,044 ; 0,712 ; 0,890 ; 0,863 ; 1,170 ; 2,089 ;;;;;;;;;;;;;;;;
201402; 37,5 ; 9,2 ; 0,8 ; 150,3 ; 4.359,0 ; 48,6 ; 4.889,3 ; 5.342.747,0 ; 6,0 ; 4,3 ; 3,2 ; 3.718,9 ; 4.725,9 ; 3,6 ; 0,548 ; 1,108 ; 0,952 ; 1,438 ; 4,052 ; 0,842 ; 1,326 ; 1,045 ; 0,737 ; 0,885 ; 0,854 ; 1,215 ; 2,094 ;;;;;;;;;;;;;;;;
201403; 37,3 ; 9,2 ; 0,8 ; 130,7 ; 5.553,0 ; 43,1 ; 5.056,1 ; 5.346.138,0 ; 6,2 ; 4,3 ; 3,0 ; 3.772,8 ; 4.689,1 ; 3,6 ; 0,548 ; 1,108 ; 0,951 ; 1,339 ; 4,765 ; 0,771 ; 1,359 ; 1,045 ; 0,759 ; 0,884 ; 0,811 ; 1,240 ; 2,084 ;;;;;;;;;;;;;;;;
201404; 48,0 ; 9,0 ; 0,8 ; 100,9 ; 5.783,0 ; 43,0 ; 5.152,9 ; 5.349.529,0 ; 6,3 ; 4,3 ; 3,0 ; 3.909,6 ; 4.728,2 ; 3,9 ; 0,659 ; 1,093 ; 0,951 ; 1,102 ; 5,127 ; 0,750 ; 1,387 ; 1,046 ; 0,775 ; 0,876 ; 0,798 ; 1,280 ; 2,093 ;;;;;;;;;;;;;;;;
201405; 49,2 ; 8,8 ; 0,8 ; 115,0 ; 5.598,0 ; 46,5 ; 5.172,5 ; 5.352.919,0 ; 6,5 ; 4,1 ; 3,1 ; 3.903,8 ; 4.767,1 ; 3,9 ; 0,704 ; 1,075 ; 0,950 ; 1,129 ; 5,117 ; 0,785 ; 1,399 ; 1,047 ; 0,795 ; 0,858 ; 0,812 ; 1,290 ; 2,108 ;;;;;;;;;;;;;;;;
201406; 46,5 ; 9,3 ; 0,8 ; 125,8 ; 4.311,0 ; 51,6 ; 5.200,3 ; 5.356.310,0 ; 6,6 ; 3,9 ; 3,1 ; 3.875,7 ; 4.789,1 ; 3,8 ; 0,691 ; 1,106 ; 0,949 ; 1,211 ; 4,291 ; 0,857 ; 1,408 ; 1,047 ; 0,813 ; 0,824 ; 0,810 ; 1,287 ; 2,120 ;;;;;;;;;;;;;;;;
201407; 46,6 ; 8,7 ; 0,7 ; 130,1 ; 3.695,0 ; 50,1 ; 5.119,4 ; 5.359.701,0 ; 7,3 ; 3,9 ; 3,2 ; 3.875,4 ; 4.768,6 ; 3,8 ; 0,688 ; 1,071 ; 0,941 ; 1,267 ; 3,649 ; 0,860 ; 1,396 ; 1,048 ; 0,878 ; 0,802 ; 0,834 ; 1,286 ; 2,117 ;;;;;;;;;;;;;;;;
201408; 50,4 ; 8,8 ; 0,7 ; 125,2 ; 3.729,0 ; 48,9 ; 5.223,5 ; 5.363.092,0 ; 6,4 ; 3,7 ; 3,2 ; 3.996,6 ; 4.708,0 ; 3,9 ; 0,726 ; 1,062 ; 0,936 ; 1,249 ; 3,479 ; 0,846 ; 1,412 ; 1,049 ; 0,820 ; 0,768 ; 0,833 ; 1,314 ; 2,097 ;;;;;;;;;;;;;;;;
201409; 31,2 ; 8,4 ; 0,7 ; 157,7 ; 3.199,0 ; 44,2 ; 5.262,2 ; 5.366.482,0 ; 6,5 ; 3,6 ; 3,1 ; 3.943,6 ; 4.884,0 ; 3,4 ; 0,540 ; 1,031 ; 0,932 ; 1,469 ; 3,089 ; 0,786 ; 1,424 ; 1,049 ; 0,813 ; 0,745 ; 0,822 ; 1,310 ; 2,146 ;;;;;;;;;;;;;;;;
201410; 39,8 ; 9,4 ; 0,7 ; 129,1 ; 3.517,0 ; 54,6 ; 5.206,3 ; 5.369.873,0 ; 6,9 ; 3,6 ; 3,1 ; 3.851,0 ; 4.801,4 ; 3,7 ; 0,572 ; 1,105 ; 0,936 ; 1,337 ; 3,175 ; 0,893 ; 1,417 ; 1,050 ; 0,840 ; 0,737 ; 0,807 ; 1,287 ; 2,135 ;;;;;;;;;;;;;;;;
201411; 42,5 ; 9,5 ; 0,7 ; 135,3 ; 3.274,0 ; 45,9 ; 5.206,8 ; 5.373.264,0 ; 7,0 ; 3,7 ; 3,0 ; 3.991,8 ; 4.879,2 ; 3,7 ; 0,609 ; 1,133 ; 0,937 ; 1,340 ; 3,045 ; 0,821 ; 1,415 ; 1,051 ; 0,861 ; 0,746 ; 0,800 ; 1,313 ; 2,155 ;;;;;;;;;;;;;;;;
201412; 53,3 ; 9,6 ; 0,7 ; 122,6 ; 3.205,0 ; 47,3 ; 5.331,4 ; 5.376.655,0 ; 7,2 ; 3,7 ; 2,9 ; 3.851,0 ; 5.160,6 ; 4,0 ; 0,732 ; 1,151 ; 0,934 ; 1,253 ; 2,962 ; 0,816 ; 1,438 ; 1,051 ; 0,882 ; 0,760 ; 0,774 ; 1,288 ; 2,249 ;;;;;;;;;;;;;;;;
201501; 55,6 ; 10,2 ; 0,8 ; 145,7 ; 5.567,0 ; 53,4 ; 5.227,3 ; 5.384.374,0 ; 7,1 ; 3,8 ; 2,6 ; 3.836,7 ; 5.142,8 ; 4,0 ; 0,793 ; 1,211 ; 0,951 ; 1,387 ; 4,448 ; 0,887 ; 1,425 ; 1,053 ; 0,885 ; 0,767 ; 0,716 ; 1,277 ; 2,272 ;;;;;;;;;;;;;;;;
201502; 54,6 ; 10,6 ; 0,8 ; 114,9 ; 4.820,0 ; 48,2 ; 5.209,0 ; 5.388.703,0 ; 7,1 ; 3,7 ; 2,6 ; 3.983,7 ; 5.188,5 ; 4,0 ; 0,801 ; 1,263 ; 0,955 ; 1,214 ; 4,416 ; 0,846 ; 1,418 ; 1,053 ; 0,880 ; 0,766 ; 0,689 ; 1,308 ; 2,293 ;;;;;;;;;;;;;;;;
201503; 54,2 ; 10,1 ; 0,8 ; 120,3 ; 5.624,0 ; 46,3 ; 5.144,0 ; 5.393.032,0 ; 7,1 ; 3,7 ; 2,7 ; 3.916,9 ; 5.184,1 ; 4,0 ; 0,799 ; 1,237 ; 0,955 ; 1,199 ; 4,920 ; 0,811 ; 1,403 ; 1,054 ; 0,877 ; 0,757 ; 0,700 ; 1,302 ; 2,297 ;;;;;;;;;;;;;;;;
201504; 57,2 ; 10,0 ; 0,8 ; 106,6 ; 5.406,0 ; 42,6 ; 5.055,9 ; 5.397.360,0 ; 6,4 ; 3,6 ; 2,7 ; 4.043,5 ; 5.203,6 ; 4,0 ; 0,829 ; 1,221 ; 0,953 ; 1,099 ; 4,932 ; 0,756 ; 1,382 ; 1,055 ; 0,818 ; 0,745 ; 0,711 ; 1,329 ; 2,305 ;;;;;;;;;;;;;;;;
201505; 46,1 ; 10,0 ; 0,8 ; 112,2 ; 4.219,0 ; 47,1 ; 5.062,8 ; 5.401.689,0 ; 6,2 ; 3,6 ; 2,9 ; 4.045,6 ; 5.334,6 ; 3,8 ; 0,724 ; 1,215 ; 0,951 ; 1,109 ; 4,177 ; 0,794 ; 1,377 ; 1,056 ; 0,784 ; 0,742 ; 0,738 ; 1,338 ; 2,348 ;;;;;;;;;;;;;;;;
201506; 45,5 ; 10,4 ; 0,8 ; 112,2 ; 4.577,0 ; 37,6 ; 5.220,0 ; 5.406.018,0 ; 6,3 ; 3,7 ; 2,6 ; 3.897,1 ; 5.380,3 ; 3,8 ; 0,686 ; 1,244 ; 0,947 ; 1,111 ; 4,179 ; 0,691 ; 1,405 ; 1,057 ; 0,784 ; 0,749 ; 0,707 ; 1,306 ; 2,375 ;;;;;;;;;;;;;;;;
201507; 52,5 ; 10,5 ; 0,7 ; 119,7 ; 4.679,0 ; 42,7 ; 5.157,9 ; 5.410.346,0 ; 6,2 ; 3,7 ; 2,5 ; 3.870,4 ; 5.331,0 ; 4,0 ; 0,747 ; 1,262 ; 0,943 ; 1,165 ; 4,245 ; 0,722 ; 1,402 ; 1,058 ; 0,770 ; 0,752 ; 0,666 ; 1,291 ; 2,368 ;;;;;;;;;;;;;;;;
201508; 51,7 ; 11,1 ; 0,7 ; 120,2 ; 4.557,0 ; 47,0 ; 5.278,1 ; 5.414.675,0 ; 5,8 ; 3,6 ; 2,3 ; 3.840,2 ; 5.309,8 ; 3,9 ; 0,757 ; 1,318 ; 0,940 ; 1,183 ; 4,187 ; 0,782 ; 1,424 ; 1,059 ; 0,737 ; 0,747 ; 0,623 ; 1,279 ; 2,359 ;;;;;;;;;;;;;;;;
201509; 43,1 ; 11,3 ; 0,7 ; 121,1 ; 3.839,0 ; 51,7 ; 5.439,3 ; 5.419.004,0 ; 5,9 ; 3,7 ; 2,4 ; 3.685,2 ; 5.432,6 ; 3,8 ; 0,671 ; 1,353 ; 0,940 ; 1,195 ; 3,710 ; 0,857 ; 1,461 ; 1,059 ; 0,735 ; 0,749 ; 0,620 ; 1,239 ; 2,395 ;;;;;;;;;;;;;;;;
201510; 43,7 ; 11,0 ; 0,7 ; 128,3 ; 4.201,0 ; 53,5 ; 5.326,3 ; 5.423.332,0 ; 5,7 ; 3,6 ; 2,4 ; 3.828,0 ; 5.406,5 ; 3,8 ; 0,652 ; 1,337 ; 0,938 ; 1,249 ; 3,799 ; 0,901 ; 1,451 ; 1,060 ; 0,716 ; 0,748 ; 0,621 ; 1,261 ; 2,397 ;;;;;;;;;;;;;;;;
201511; 49,1 ; 10,9 ; 0,7 ; 141,8 ; 3.898,0 ; 48,9 ; 5.335,9 ; 5.427.661,0 ; 5,5 ; 3,7 ; 2,2 ; 3.655,3 ; 5.444,2 ; 3,9 ; 0,701 ; 1,326 ; 0,937 ; 1,359 ; 3,631 ; 0,859 ; 1,449 ; 1,061 ; 0,697 ; 0,759 ; 0,586 ; 1,227 ; 2,410 ;;;;;;;;;;;;;;;;
201512; 61,9 ; 11,1 ; 0,7 ; 190,8 ; 3.823,0 ; 50,9 ; 5.430,6 ; 5.431.990,0 ; 5,2 ; 3,8 ; 2,1 ; 3.680,2 ; 5.679,3 ; 4,1 ; 0,848 ; 1,338 ; 0,942 ; 1,732 ; 3,533 ; 0,871 ; 1,467 ; 1,062 ; 0,661 ; 0,770 ; 0,561 ; 1,223 ; 2,486 ;;;;;;;;;;;;;;;;
201601; 47,5 ; 11,4 ; 0,8 ; 148,5 ; 4.827,0 ; 54,7 ; 5.333,3 ; 5.444.153,0 ; 5,8 ; 3,8 ; 2,0 ; 3.705,9 ; 5.657,8 ; 3,9 ; 0,744 ; 1,366 ; 0,952 ; 1,550 ; 4,146 ; 0,920 ; 1,454 ; 1,064 ; 0,704 ; 0,782 ; 0,540 ; 1,227 ; 2,503 ;;;;;;;;;;;;;;;;
201602; 45,1 ; 11,5 ; 0,8 ; 122,7 ; 5.125,0 ; 39,1 ; 5.344,1 ; 5.451.988,0 ; 5,4 ; 3,8 ; 2,1 ; 3.715,8 ; 5.701,5 ; 3,8 ; 0,688 ; 1,385 ; 0,953 ; 1,316 ; 4,520 ; 0,747 ; 1,452 ; 1,066 ; 0,681 ; 0,785 ; 0,544 ; 1,231 ; 2,521 ;;;;;;;;;;;;;;;;
201603; 66,6 ; 10,0 ; 0,8 ; 91,8 ; 5.564,0 ; 38,1 ; 5.410,2 ; 5.459.823,0 ; 5,4 ; 3,8 ; 2,2 ; 3.937,5 ; 5.684,3 ; 4,2 ; 0,893 ; 1,262 ; 0,948 ; 1,032 ; 4,913 ; 0,683 ; 1,464 ; 1,067 ; 0,674 ; 0,782 ; 0,575 ; 1,284 ; 2,521 ;;;;;;;;;;;;;;;;
201604; 53,2 ; 10,8 ; 0,8 ; 93,1 ; 5.789,0 ; 37,6 ; 5.413,9 ; 5.467.658,0 ; 5,3 ; 3,8 ; 2,2 ; 4.002,1 ; 5.656,9 ; 4,0 ; 0,816 ; 1,291 ; 0,952 ; 0,956 ; 5,175 ; 0,657 ; 1,468 ; 1,069 ; 0,663 ; 0,779 ; 0,576 ; 1,314 ; 2,513 ;;;;;;;;;;;;;;;;
201605; 57,9 ; 10,7 ; 0,8 ; 109,4 ; 5.259,0 ; 42,2 ; 5.326,0 ; 5.475.492,0 ; 5,3 ; 3,8 ; 2,1 ; 3.934,7 ; 5.714,1 ; 4,1 ; 0,841 ; 1,289 ; 0,947 ; 1,046 ; 4,914 ; 0,705 ; 1,453 ; 1,070 ; 0,658 ; 0,778 ; 0,565 ; 1,308 ; 2,528 ;;;;;;;;;;;;;;;;
201606; 44,1 ; 11,1 ; 0,8 ; 110,7 ; 4.684,0 ; 44,4 ; 5.317,7 ; 5.483.327,0 ; 5,5 ; 3,8 ; 2,1 ; 3.995,9 ; 5.756,2 ; 3,8 ; 0,707 ; 1,327 ; 0,948 ; 1,082 ; 4,469 ; 0,746 ; 1,447 ; 1,072 ; 0,673 ; 0,773 ; 0,555 ; 1,320 ; 2,546 ;;;;;;;;;;;;;;;;
201607; 55,3 ; 10,0 ; 0,7 ; 97,3 ; 4.562,0 ; 39,5 ; 5.218,5 ; 5.491.162,0 ; 4,9 ; 3,7 ; 2,2 ; 4.117,5 ; 5.755,1 ; 4,0 ; 0,782 ; 1,247 ; 0,945 ; 1,000 ; 4,257 ; 0,699 ; 1,426 ; 1,073 ; 0,626 ; 0,768 ; 0,570 ; 1,352 ; 2,551 ;;;;;;;;;;;;;;;;
201608; 49,7 ; 10,3 ; 0,7 ; 118,0 ; 5.214,0 ; 41,2 ; 5.223,0 ; 5.498.997,0 ; 5,5 ; 3,7 ; 2,2 ; 4.119,3 ; 5.710,0 ; 3,9 ; 0,747 ; 1,246 ; 0,945 ; 1,119 ; 4,610 ; 0,705 ; 1,421 ; 1,075 ; 0,666 ; 0,765 ; 0,567 ; 1,362 ; 2,538 ;;;;;;;;;;;;;;;;
201609; 66,3 ; 10,6 ; 0,7 ; 106,9 ; 4.573,0 ; 38,6 ; 5.326,6 ; 5.506.831,0 ; 5,0 ; 3,7 ; 2,1 ; 4.015,3 ; 5.858,2 ; 4,2 ; 0,907 ; 1,274 ; 0,945 ; 1,078 ; 4,306 ; 0,677 ; 1,439 ; 1,076 ; 0,639 ; 0,756 ; 0,562 ; 1,341 ; 2,580 ;;;;;;;;;;;;;;;;
201610; 53,8 ; 15,3 ; 0,7 ; 110,1 ; 3.759,0 ; 40,9 ; 5.386,2 ; 5.514.666,0 ; 5,1 ; 3,6 ; 2,1 ; 4.289,8 ; 5.845,6 ; 4,0 ; 0,827 ; 1,674 ; 0,940 ; 1,087 ; 3,695 ; 0,695 ; 1,455 ; 1,078 ; 0,638 ; 0,738 ; 0,562 ; 1,398 ; 2,589 ;;;;;;;;;;;;;;;;
201611; 46,1 ; 11,6 ; 0,7 ; 113,5 ; 3.936,0 ; 43,6 ; 5.424,4 ; 5.522.501,0 ; 4,9 ; 3,5 ; 2,5 ; 4.207,2 ; 5.857,4 ; 3,8 ; 0,723 ; 1,485 ; 0,940 ; 1,114 ; 3,625 ; 0,733 ; 1,468 ; 1,079 ; 0,619 ; 0,726 ; 0,622 ; 1,396 ; 2,596 ;;;;;;;;;;;;;;;;
201612; 52,6 ; 10,6 ; 0,7 ; 123,3 ; 3.520,0 ; 41,8 ; 5.425,3 ; 5.530.336,0 ; 4,7 ; 3,6 ; 2,6 ; 4.151,4 ; 6.057,7 ; 4,0 ; 0,759 ; 1,345 ; 0,943 ; 1,190 ; 3,338 ; 0,723 ; 1,472 ; 1,081 ; 0,597 ; 0,734 ; 0,658 ; 1,383 ; 2,660 ;;;;;;;;;;;;;;;;
201701; 65,1 ; 11,8 ; 0,8 ; 118,6 ; 4.963,0 ; 42,6 ; 5.432,3 ; 5.549.101,0 ; 5,1 ; 3,6 ; 2,6 ; 4.199,5 ; 6.020,2 ; 4,2 ; 0,899 ; 1,400 ; 0,952 ; 1,180 ; 4,174 ; 0,730 ; 1,474 ; 1,084 ; 0,621 ; 0,740 ; 0,675 ; 1,390 ; 2,667 ;;;;;;;;;;;;;;;;
201702; 65,2 ; 11,3 ; 0,8 ; 238,4 ; 4.657,0 ; 45,3 ; 5.382,6 ; 5.560.032,0 ; 5,5 ; 3,6 ; 2,7 ; 4.359,9 ; 6.023,7 ; 4,2 ; 0,941 ; 1,376 ; 0,954 ; 2,009 ; 4,229 ; 0,764 ; 1,465 ; 1,086 ; 0,660 ; 0,732 ; 0,697 ; 1,429 ; 2,671 ;;;;;;;;;;;;;;;;
201703; 73,3 ; 11,2 ; 0,8 ; 96,2 ; 5.673,0 ; 38,0 ; 5.422,8 ; 5.570.962,0 ; 4,6 ; 3,5 ; 2,6 ; 4.783,4 ; 6.015,6 ; 4,3 ; 1,038 ; 1,365 ; 0,956 ; 1,270 ; 4,895 ; 0,686 ; 1,470 ; 1,089 ; 0,596 ; 0,718 ; 0,693 ; 1,539 ; 2,669 ;;;;;;;;;;;;;;;;
201704; 64,6 ; 11,5 ; 0,8 ; 132,2 ; 3.921,0 ; 39,8 ; 5.292,5 ; 5.581.893,0 ; 5,4 ; 3,4 ; 2,6 ; 4.795,1 ; 6.015,6 ; 4,2 ; 0,978 ; 1,384 ; 0,954 ; 1,298 ; 3,975 ; 0,685 ; 1,447 ; 1,091 ; 0,650 ; 0,707 ; 0,682 ; 1,575 ; 2,669 ;;;;;;;;;;;;;;;;
201705; 63,2 ; 11,9 ; 0,8 ; 131,6 ; 5.129,0 ; 38,2 ; 5.337,2 ; 5.592.824,0 ; 5,3 ; 3,4 ; 2,5 ; 4.855,8 ; 6.040,3 ; 4,1 ; 0,944 ; 1,425 ; 0,954 ; 1,303 ; 4,471 ; 0,665 ; 1,449 ; 1,093 ; 0,652 ; 0,695 ; 0,670 ; 1,600 ; 2,676 ;;;;;;;;;;;;;;;;
201706; 77,7 ; 11,6 ; 0,8 ; 84,9 ; 4.485,0 ; 37,8 ; 5.375,0 ; 5.603.754,0 ; 5,8 ; 3,3 ; 2,6 ; 4.747,2 ; 6.160,3 ; 4,4 ; 1,084 ; 1,410 ; 0,955 ; 0,980 ; 4,209 ; 0,654 ; 1,456 ; 1,095 ; 0,698 ; 0,681 ; 0,675 ; 1,582 ; 2,716 ;;;;;;;;;;;;;;;;
201707; 54,3 ; 11,8 ; 0,8 ; 118,9 ; 4.355,0 ; 39,9 ; 5.410,5 ; 5.614.685,0 ; 6,2 ; 3,2 ; 2,7 ; 5.064,6 ; 6.066,1 ; 4,0 ; 0,884 ; 1,423 ; 0,949 ; 1,119 ; 4,047 ; 0,677 ; 1,465 ; 1,097 ; 0,752 ; 0,664 ; 0,700 ; 1,651 ; 2,698 ;;;;;;;;;;;;;;;;
201708; 50,3 ; 11,5 ; 0,8 ; 101,7 ; 4.224,0 ; 41,6 ; 5.409,0 ; 5.625.615,0 ; 6,7 ; 3,2 ; 2,9 ; 5.153,2 ; 5.984,5 ; 3,9 ; 0,783 ; 1,399 ; 0,948 ; 1,042 ; 3,914 ; 0,704 ; 1,468 ; 1,099 ; 0,810 ; 0,658 ; 0,749 ; 1,692 ; 2,668 ;;;;;;;;;;;;;;;;
201709; 52,4 ; 12,4 ; 0,8 ; 107,3 ; 3.574,0 ; 46,0 ; 5.491,8 ; 5.636.546,0 ; 5,8 ; 3,2 ; 3,0 ; 5.341,9 ; 6.118,5 ; 4,0 ; 0,775 ; 1,468 ; 0,948 ; 1,057 ; 3,459 ; 0,765 ; 1,484 ; 1,101 ; 0,750 ; 0,657 ; 0,772 ; 1,748 ; 2,700 ;;;;;;;;;;;;;;;;
201710; 41,5 ; 11,0 ; 0,7 ; 111,5 ; 3.848,0 ; 38,2 ; 5.574,1 ; 5.647.477,0 ; 6,1 ; 3,3 ; 3,1 ; 5.588,1 ; 6.094,4 ; 3,7 ; 0,660 ; 1,369 ; 0,944 ; 1,091 ; 3,498 ; 0,689 ; 1,505 ; 1,104 ; 0,759 ; 0,666 ; 0,797 ; 1,822 ; 2,702 ;;;;;;;;;;;;;;;;
201711; 44,3 ; 11,9 ; 0,7 ; 96,1 ; 4.149,0 ; 37,9 ; 5.557,3 ; 5.658.407,0 ; 6,4 ; 3,4 ; 3,1 ; 5.003,4 ; 6.112,3 ; 3,8 ; 0,655 ; 1,419 ; 0,943 ; 0,994 ; 3,702 ; 0,663 ; 1,508 ; 1,106 ; 0,786 ; 0,681 ; 0,807 ; 1,708 ; 2,709 ;;;;;;;;;;;;;;;;
201712; 52,7 ; 12,1 ; 0,8 ; 104,4 ; 4.114,0 ; 48,8 ; 5.663,2 ; 5.669.338,0 ; 5,8 ; 3,5 ; 3,1 ; 5.564,6 ; 6.364,9 ; 4,0 ; 0,739 ; 1,454 ; 0,947 ; 1,023 ; 3,740 ; 0,787 ; 1,529 ; 1,108 ; 0,738 ; 0,705 ; 0,808 ; 1,805 ; 2,789 ;;;;;;;;;;;;;;;;
201801; 52,9 ; 13,0 ; 0,8 ; 121,0 ; 4.595,0 ; 49,7 ; 5.649,1 ; 5.692.461,0 ; 5,4 ; 3,5 ; 3,2 ; 5.855,4 ; 6.310,2 ; 4,0 ; 0,767 ; 1,541 ; 0,953 ; 1,146 ; 4,060 ; 0,834 ; 1,532 ; 1,112 ; 0,694 ; 0,717 ; 0,831 ; 1,901 ; 2,796 ;;;;;;;;;;;;;;;;
201802; 44,9 ; 13,8 ; 0,7 ; 118,0 ; 2.725,0 ; 34,6 ; 5.553,3 ; 5.704.653,0 ; 5,3 ; 3,5 ; 3,2 ; 5.602,8 ; 6.306,0 ; 3,8 ; 0,693 ; 1,627 ; 0,947 ; 1,163 ; 2,960 ; 0,667 ; 1,515 ; 1,114 ; 0,669 ; 0,724 ; 0,832 ; 1,871 ; 2,797 ;;;;;;;;;;;;;;;;
201803; 50,6 ; 12,1 ; 0,8 ; 93,3 ; 2.249,0 ; 47,4 ; 5.542,5 ; 5.716.845,0 ; 5,2 ; 3,5 ; 3,1 ; 5.542,2 ; 6.311,7 ; 3,9 ; 0,729 ; 1,510 ; 0,946 ; 0,997 ; 2,326 ; 0,770 ; 1,508 ; 1,117 ; 0,653 ; 0,720 ; 0,815 ; 1,848 ; 2,799 ;;;;;;;;;;;;;;;;
201804; 53,0 ; 13,4 ; 0,8 ; 107,5 ; 3.017,0 ; 39,0 ; 5.474,9 ; 5.729.037,0 ; 4,7 ; 3,5 ; 3,1 ; 5.710,9 ; 6.263,4 ; 4,0 ; 0,765 ; 1,588 ; 0,952 ; 1,045 ; 2,626 ; 0,701 ; 1,493 ; 1,119 ; 0,604 ; 0,712 ; 0,813 ; 1,880 ; 2,784 ;;;;;;;;;;;;;;;;
201805; 57,1 ; 13,4 ; 0,8 ; 122,7 ; 2.609,0 ; 40,6 ; 5.466,2 ; 5.741.230,0 ; 5,0 ; 3,4 ; 3,1 ; 5.455,1 ; 6.290,7 ; 4,0 ; 0,817 ; 1,615 ; 0,954 ; 1,165 ; 2,456 ; 0,699 ; 1,487 ; 1,122 ; 0,616 ; 0,704 ; 0,812 ; 1,831 ; 2,789 ;;;;;;;;;;;;;;;;
201806; 47,8 ; 13,9 ; 0,8 ; 128,2 ; 1.050,0 ; 60,0 ; 5.646,1 ; 5.753.422,0 ; 4,5 ; 3,3 ; 3,2 ; 5.301,3 ; 6.293,6 ; 3,9 ; 0,738 ; 1,661 ; 0,958 ; 1,239 ; 1,408 ; 0,932 ; 1,519 ; 1,124 ; 0,576 ; 0,691 ; 0,822 ; 1,780 ; 2,791 ;;;;;;;;;;;;;;;;
201807; 52,9 ; 12,4 ; 0,8 ; 183,3 ; 789,0 ; 56,2 ; 5.698,2 ; 5.765.614,0 ; 4,0 ; 3,3 ; 2,8 ; 5.434,4 ; 6.298,3 ; 4,0 ; 0,766 ; 1,546 ; 0,967 ; 1,644 ; 0,927 ; 0,956 ; 1,539 ; 1,127 ; 0,521 ; 0,686 ; 0,766 ; 1,796 ; 2,793 ;;;;;;;;;;;;;;;;
