"";"district";"maha";"nlp";"ppl";"cc";"ach";"mdp";"sm";"le";"as";"rs";"we";"ad";"vt";"ac";"lt";"cfo";"mahaR";"z"
"120";"QUELLON";4,59592355;10,21067809;27192;1;"0.42";"0.44";"0.46039999999999998";11,21891117;523272,1585;0,424495757;0,504552979;"0.95420000000000005";0,420026008;0,053692262;20,45633333;646,6355546;40,6125885714761;1,3734959932637
"121";"QUILICURA";4,75425766;12,25681329;210410;0;"0.2";"0.21";"0.13789999999999999";8,542957746;349508,8834;0,470180703;0,313249247;"0.91059999999999997";0,501333952;0,025269712;29,22389127;165,9037299;26,0100651662343;0,527809603791833
"122";"QUILLOTA";2,76155447;11,41329296;90517;3;"0.28999999999999998";"0.45";"0.27760000000000001";9,153079179;303846,3093;0,469827979;0,219427496;"0.87990000000000002";0,499450549;0,079664593;29,12194488;357,2493123;8,45281727122745;-0,488995859848845
"123";"QUILPUE";3,32586951;11,9297129;151708;1;"0.3";"0.55000000000000004";"0.4002";9,657090384;325603,0198;0,326363871;0,332838992;"0.82889999999999997";0,492764579;0,01690748;35,51582238;1438,41289;12,4447825165107;-0,257806319418533
"124";"QUINTA NORMAL";2,90455314;11,60847198;110026;1;"0.56999999999999995";"0.82";"0.26819999999999999";11,03371293;434712,8996;0,499523022;0,271506426;"0.88139999999999996";0,483687943;0,037045789;32,26132244;812,9743842;8,62934881255;-0,478772262346829
"125";"QUINTERO";2,80845175;10,37108203;31923;1;"0.62";"0.64";"0.33589999999999998";11,49508686;542818,5838;0,408228603;0;"0.90910000000000002";0,510331872;0,101682173;37,14244353;2291,969668;8,64876408498682;-0,477647851778049
"126";"RANCAGUA";11,707973;12,39575868;120887;6;"-";"-";"-";0;0;0,32142629;0,284269226;"-";0,528350332;0,042258473;80;1114,023531;146,118356667486;7,48372705494042
"127";"RECOLETA";3,45373829;11,96940683;157851;5;"0.39";"0.4";"0.33650000000000002";9,241175019;309257,2917;0,464731985;0,718724555;"0.93420000000000003";0,484695817;0,04924264;31,97333313;2022,918316;12,9699797151714;-0,227390198151665
"128";"RENCA";3,49305289;11,89921455;147151;0;"0.34";"0.55000000000000004";"0.56920000000000004";9,069953312;202415,8454;0,486473678;0,253975091;"0.94330000000000003";0,47635892;0,026197579;33,50548927;338,835664;12,7388397747275;-0,240776370957018
"129";"RENGO";2,53003593;10,98232221;29412,5;2;"0.63";"0.64";"0.4027";11,01656699;497608,8793;0,394143256;0,407080963;"0.90969999999999995";0,552114354;0,151568211;33,41686554;3037,40578;9,99681721338102;-0,399577086107595
