"";"district";"maha";"nlp";"ppl";"cc";"ach";"mdp";"sm";"le";"as";"rs";"we";"ad";"vt";"ac";"lt";"cfo";"mahaR";"z"
"30";"COLINA";2,34528629;11,8927787;146207;1;"0.59";"0.61";"0.37680000000000002";11,43519461;418281,8633;0,459900426;0,138683199;"0.90090000000000003";0,495397008;0,030880874;35,03116482;297,947718;7,87147098971869;-0,522663783138429
"31";"COLLIPULLI";2,45859873;10,11042042;24598;1;"0.43";"0.34";"0.3322";9,183661778;385196,2969;0,446596554;0;"0.93530000000000002";0,526218384;0,083827953;33,2471893;269,3962924;6,68074788667993;-0,591622982444222
"32";"CONCON";5,18029265;10,64903741;42152;2;"0.78";"0.85";"0.14760000000000001";14,26798259;656455,1961;0,288314403;0,365165671;"0.62219999999999998";0,576565657;0,039974378;31,7955647;1278,923562;28,5068294311765;0,672406499683361
"33";"CONCEPCION";3,87597683;12,31749773;223574;3;"0.38";"0.42";"0.40100000000000002";9,428379525;372287,7269;0,238674281;0,274605233;"0.87680000000000002";0,519233277;0,056388489;33,74456275;4318,155005;18,8937204541845;0,115675639081994
"34";"CONCHALMO";5,5561218;11,75158797;126955;0;"0.38";"0.18";"0.3916";10,48927039;424673,6916;0,535587725;0,394348811;"0.72789999999999999";0,502316858;0,03732031;23,90839946;180,5526289;35,1648071724914;1,05799472994879
"35";"CONSTITUCION";3,93185763;10,73787384;46068;1;"0.48";"0.15";"0.33179999999999998";10,38749704;465914,7032;0,323479475;0;"0.92210000000000003";0,549012934;0,083550404;35,04170764;675,3760962;16,2137982023771;-0,0395286163950251
"36";"COPIAPO";2,84700774;11,94429871;153937;1;"0.56999999999999995";"0.56000000000000005";"0.40820000000000001";11,41624489;481064,8899;0,325915686;0,413027713;"0.88049999999999995";0,460647319;0,14574144;34,44012077;2276,258627;12,3127458689224;-0,265453052293263
"37";"COQUIMBO";3,46555089;12,335916;75910;7;"0.43";"0.53";"0.43540000000000001";10,2653405;421112,3633;0,392172981;0,059275204;"0.84470000000000001";0,479316713;0,045944759;32,89293008;674,2737057;12,4549496099206;-0,257217505260962
"38";"CORONEL";2,62358222;11,66360154;116262;2;"0.45";"0.48";"0.27750000000000002";9,078576608;457553,2481;0,380167754;0,352581916;"0.9224";0,540523593;0,01546507;35,27401308;531,6450517;9,22519525652022;-0,444264580770373
"39";"COYHAIQUE";4,30983721;10,96505542;11563,6;2;"0.49";"0.24";"0.34710000000000002";11,01691086;318636,1769;0,325456929;0,519667736;"0.81040000000000001";0,430486594;0,403801584;32,42438141;4028,360929;22,1298569708419;0,303092329380032
"40";"CURACAVI";4,20194508;10,39142319;32579;0;"0.48";"0.23";"0.62760000000000005";9,356750334;347766,4173;0,621363853;0;"0.94640000000000002";0,55274013;0,010558949;31,33814271;0;21,557487331307;0,269944276781955
"41";"CURANILAHUE";3,89870006;10,38245092;32288;0;"0.3";"0.25";"0.33950000000000002";9,372405372;294526,7563;0,440086531;1;"0.92130000000000001";0,516328332;0,098488603;32,99256254;593,2375496;15,5731430548575;-0,0766313364911917
"42";"CURICO";3,26113823;11,91261392;74568;5;"0.36";"0.4";"0.57210000000000005";8,056316876;279232,5593;0,323720206;0,189045032;"0.82969999999999999";0,545366912;0,053126006;35,50235337;605,1115492;12,7366738742329;-0,240901806302565
"43";"DONIHUE";2,71121245;9,946882235;20887;0;"0.67";"0.74";"0.26019999999999999";11,72573347;508981,0492;0,4060643;0;"0.83430000000000004";0,544029851;0,076650548;35,87912349;968,3147412;7,53227742991319;-0,542307742539381
"44";"EL BOSQUE";7,52722766;11,99846405;162505;1;"0.91";"0.9";"0.3493";15,87547795;1378033,912;0,517585965;0,183856761;"0.71519999999999995";0,490685038;0,013298052;34,38947049;409,0733259;61,0847393388876;2,55911431324537
"45";"EL MONTE";2,94410524;10,48913304;35923;2;"0.39";"0.45";"0.3785";8,093333333;382101,8008;0,55845826;0,290477625;"0.8357";0,547916667;0,045152131;34,90014472;55,23842663;10,2056993592995;-0,38747994488723
"46";"ESTACION CENTRAL";3,89550517;11,89846674;147041;1;"0.52";"0.68";"0.30890000000000001";10,46326694;245794,1281;0,509288575;0,379804619;"0.84350000000000003";0,463402373;0,007725736;37,49775455;2255,972928;17,0430797869997;0,0084981615592029
"47";"FREIRE";2,88298877;10,11074559;8202;2;"0.46";"0.54";"0.21260000000000001";10,62573577;399554,6147;0,367569099;0;"0.82679999999999998";0,52462908;0,34706982;35,55099887;474,2952938;8,90119744934781;-0,463028497672987
"48";"GRANEROS";2,84066895;10,41741835;33437;0;"0.51";"0.41";"0.1618";10,32435789;399120,6475;0,348909263;0,487029951;"0.88149999999999995";0,560165975;0,00924126;35,14922115;485,6345665;8,01650794558195;-0,514264154105822
"49";"HUALPEN";3,06545891;11,42707342;91773;1;"0.43";"0.53";"0.59289999999999998";9,308440681;285224,68;0,371592786;0;"0.91249999999999998";0,565294535;0,010722108;32,30178519;160,5524937;9,54483228383132;-0,42575321283302
"50";"HUALQUI";2,34893353;10,09958873;24333;0;"0.43";"0.61";"0.32469999999999999";10,49148434;452470,9751;0,532899023;0;"0.86519999999999997";0,536483669;0,078946287;36,32123721;0;6,63287244723772;-0,594395627034659
"51";"HUECHURABA";3,50460317;11,49954636;98671;1;"0.39";"0.55000000000000004";"0.25840000000000002";10,06398618;388334,6945;0,584667018;0,695510881;"0.93200000000000005";0,537325847;0,0699699;32,35182088;85,4840632;12,4624938381693;-0,256780590970744
"52";"ILLAPEL";3,2788329;10,3368272;30848;1;"0.41";"0.65";"0.10440000000000001";9,885027512;301038,7849;0,381624176;0,373162228;"0.85229999999999995";0,52253999;0,006126815;37,40887132;0;11,5651201362979;-0,308750836446959
"53";"INDEPENDENCIA";2,62766635;11,51573152;100281;0;"0.56999999999999995";"0.61";"0.23219999999999999";11,14466108;395514,2635;0,460813676;0;"0.83450000000000002";0,460054654;0,035789432;36,36386917;704,3602397;7,16545517811552;-0,563551782154435
"54";"IQUIQUE";4,20456363;12,16247597;63822,66667;2;"0.31";"0.6";"0.5504";9,155552586;270299,4101;0,33093198;0,229323879;"0.83660000000000001";0,425805894;0,050217269;30,18078376;2186,09535;18,1756103447137;0,0740872143372918
"55";"ISLA DE MAIPO";2,52932778;10,49733912;18109,5;0;"0.45";"0.47";"0.42620000000000002";9,852797922;413217,2613;0,596661034;0;"0.91959999999999997";0,515184981;0,261989563;30,49653838;856,0049974;6,76334504949721;-0,586839473836491
"56";"LA CISTERNA";2,41121092;11,4088863;90119;1;"0.62";"0.67";"0.22109999999999999";11,48294202;415234,1322;0,387705538;0;"0.86250000000000004";0,49915215;0,005004494;36,11587986;357,733974;6,437314659789;-0,605721105146287
"57";"LA CRUZ";3,66126739;10,00324239;0;1;"0.28999999999999998";"0.48";"0.54290000000000005";8,193083573;224429,5788;0,501629195;0;"0.96160000000000001";0,568329718;0;39,41288939;0;15,7237391276905;-0,0679097583386741
"58";"LA FLORIDA";6,61161407;12,81288822;366916;2;"0.55000000000000004";"0.47";"0.36220000000000002";10,72564946;428331,1405;0,405891566;0,415397575;"0.87180000000000002";0,535488467;0,00883581;35,28897426;814,976823;48,8609118384249;1,85118704221752
"59";"LA GRANJA";2,93749987;11,66625581;116571;4;"0.49";"0.61";"0.31719999999999998";10,096651;305107,9311;0,55406985;0;"0.82450000000000001";0,472772898;0,011203473;35,73985914;81,56326187;8,96801847937039;-0,45915864353529
"60";"LA LIGUA";3,29824172;10,47418457;17695;1;"0.35";"0.49";"0.26469999999999999";9,239659268;345017,5337;0,585905436;0,598328863;"0.88249999999999995";0,564802183;0,10189319;33,48066702;443,0668805;11,1208367099809;-0,334480940503455
"61";"LA PINTANA";3,80082916;12,08579588;177335;1;"0.56999999999999995";"0.45";"0.32379999999999998";11,27476029;494797,5594;0,646572073;0,442347462;"0.87139999999999995";0,424079437;0,040550371;35,77788987;13,96381989;15,3750523584567;-0,0881035047718471
"62";"LA REINA";7,78406546;11,43806182;92787;3;"0.39";"0.59";"0.48089999999999999";9,119936458;334670,7127;0,028312695;0,54664219;"0.83850000000000002";0,611152306;0,061657344;28,83414899;11690,34691;71,458458472756;3,15989493425551
"63";"LA SERENA";3,80189727;12,30616229;55263,5;4;"0.65";"0.76";"0.28639999999999999";12,00239101;420051,8064;0,34319638;0,200151312;"0.80730000000000002";0,506651396;0,334402454;34,44574661;1189,953255;15,3182233698597;-0,0913946826628347
"64";"LA UNION";1,73326398;10,54628836;38036;0;"0.32";"0.43";"0.41620000000000001";9,100315342;327041,6348;0,433738907;0;"0.89080000000000004";0,526809149;0,118939952;32,09212786;706,1576664;8,88717210997539;-0,463840757190457
"65";"LAJA";2,59958353;10,01632505;22389;1;"0.4";"0.45";"0.46479999999999999";8,929887164;360186,3238;0,522328303;0;"0.86680000000000001";0,521825397;0,102193041;31,57948763;198,5101612;6,85867774003592;-0,581318403496595
"66";"LAMPA";1,617202;11,53306137;102034;0;"0.45";"0.46";"0.40189999999999998";9,709603876;325127,2992;0,405066869;0,180077646;"0.8468";0,507201002;0,029627379;33,84541199;778,2098516;13,5824311813865;-0,191920858037184
"67";"LAS CABRAS";2,5074029;10,11212642;24640;0;"0.28000000000000003";"0.32";"0.26250000000000001";8,937992832;373112,8284;0,515239207;0,151636746;"0.87150000000000005";0,534368071;0,100162338;32,11662107;0;6,81385124461476;-0,583914472409711
"68";"LAS CONDES";4,9565169;12,59418133;32759,77778;3;"0.3";"0.37";"0.3957";8,493056492;353624,0437;0,180301367;0,202756834;"0.95209999999999995";0,605375214;0,085396048;30,94481364;4023,804522;26,8411468080135;0,575940629744534
"69";"LAUTARO";3,25159448;10,54568349;38013;1;"0.53";"0.69";"0.32100000000000001";11,34628564;302979,1927;0,334596902;0;"0.85970000000000002";0,512449799;0,025675427;36,59583533;0;12,5593847199951;-0,251169279983592
"70";"LEBU";2,42528731;10,1472961;25522;0;"0.59";"0.65";"0.247";11,57231514;445995,0864;0,434007813;0,410500432;"0.86970000000000003";0,517262639;0,249980409;34,3149193;1897,854909;7,29569501502985;-0,5560091092623
"71";"LIMACHE";2,63704495;10,73902366;46121;2;"0.25";"0.2";"0.30259999999999998";8,285022674;362965,8471;0,478023922;0,297949099;"0.89159999999999995";0,493383743;0,038897682;33,93317121;668,1226556;8,48726978265573;-0,487000586895709
"72";"LINARES";2,44152585;11,44680703;93602;2;"0.45";"0.66";"0.34620000000000001";10,0385922;328126,2287;0,364531508;0,144195075;"0.96140000000000003";0,541221629;0,116578706;34,35161951;470,3899596;6,95869920716532;-0,575525788682091
"73";"LLAILLAY";3,44287862;10,11082687;24608;0;"0.72";"0.53";"0.24779999999999999";12,39865571;465424,8661;0,387710558;0;"0.81579999999999997";0,57180675;0,140848505;37,8721688;118,1388166;13,1312368633366;-0,218051197512954
"74";"LO BARNECHEA";3,85196903;11,56961766;105833;2;"0.69";"0.7";"0.51639999999999997";11,53937344;608178,1082;0,268293874;0,101697432;"0.90659999999999996";0,60403397;0,009448849;33,4507544;1399,771272;15,0803691774826;-0,105169702746004
"75";"LO ESPEJO";3,31293165;11,50089337;98804;0;"0.27";"0.26";"0.58640000000000003";8,058076225;283141,6829;0,551999181;0;"0.91110000000000002";0,467457253;0,013724141;35,40571788;0;11,2382996548011;-0,327678224908003
"76";"LO PRADO";2,24443746;11,47469386;96249;1;"0.37";"0.35";"0.40029999999999999";8,785114046;301827,6556;0,527946461;0,537938979;"0.87009999999999998";0,520637219;0,025911958;33,09204732;482,1837006;9,71319636227536;-0,416002623454406
"77";"LONCOCHE";4,62707753;10,06951034;23612;0;"0.53";"0.71";"0.4824";11,82224131;310287,948;0,469164475;0;"0.9254";0,479249574;0,549932238;32,80513901;311,7619431;31,4959224210514;0,845515981397704
"78";"LONGAVI";3,29649937;10,3265961;30534;0;"0.4";"0.45";"0.28149999999999997";11,09582453;447176,0975;0,529009338;0,480433899;"0.90380000000000005";0,560675883;3,28e-05;31,69905473;39,30045196;11,7624770731328;-0,29732116290922
"79";"LOS ALAMOS";4,38526598;9,953942996;21035;0;"0.22";"0.25";"0.36180000000000001";7,664086126;238046,8661;0,513928842;0,645532568;"0.89470000000000005";0,556231003;0,523746137;35,98136984;0;23,4184698358855;0,377720688535718
"80";"LOS ANGELES";4,34090515;12,21766025;101165,5;2;"0.53";"0.63";"0.34570000000000001";9,613844252;433418,4796;0,409724338;0,470572036;"0.92120000000000002";0,496896613;0,409927297;32,31811326;226,0136212;19,6773793606091;0,161060238220099
"81";"LOS ANDES";2,29864322;11,10808016;66708;2;"0.66";"0.6";"0.2606";11,71653555;472125,3596;0,362850744;0,389407367;"0.88029999999999997";0,503658844;0,100377766;34,73428629;360,8082839;7,65296943454097;-0,535318020092153
"82";"LOS VILOS";2,52715215;9,970304726;21382;0;"0.27";"0.36";"0.26369999999999999";9,110611867;367051,0076;0,413980181;0,424676485;"0.90410000000000001";0,530110935;0,040454588;34,45210659;103,9295669;7,30163963154951;-0,55566483443104
"83";"LOTA";2,56000662;10,68132049;43535;1;"0.33";"0.45";"0.35909999999999997";9,454209066;276239,5538;0,442228639;0,569232231;"0.90980000000000005";0,555464927;0,023590215;35,30568308;665,9617319;7,2841681965775;-0,556676670149452
"84";"MACHALI";3,32923288;10,86866368;52505;1;"0.45";"0.54";"0.26300000000000001";10,16363985;368731,4361;0,19808062;0;"0.90600000000000003";0,530125899;0,051614132;37,09729573;1344,150271;11,406868350282;-0,317915785396487
"85";"MACUL";3,92147698;11,66593835;0;0;"0.43";"0.49";"0.48470000000000002";9,296669667;346345,733;0,462038904;0,102485328;"0.89";0,556810887;0;35,46849235;1545,304888;16,3116306489931;-0,033862775892269
"86";"MAIPU";3,57866755;13,16470805;173875,6667;2;"0.37";"0.5";"0.50329999999999997";9,118177577;253343,3526;0,426136082;0,134770164;"0.83299999999999996";0,514429157;0,041102167;33,43331619;351,1151532;13,3493156483289;-0,205421444751568
"87";"MARIQUINA";2,41434871;9,965428954;21278;0;"0.27";"0.36";"0.29599999999999999";8,147829918;290710,5821;0,466325086;0;"0.9234";0,529874214;0,142165617;36,99260834;0;5,9613077387746;-0,633288434656732
"88";"MAULE";2,48870245;10,81418266;49721;0;"0.39";"0.4";"0.3175";9,584352237;299026,8336;0,480089139;0;"0.88360000000000005";0,589782119;0,025703425;33,99167562;89,38766316;6,24943051679247;-0,616602173994478
"89";"MELIPILLA";3,07763075;11,72502425;61813,5;1;"0.39";"0.35";"0.38059999999999999";9,796364904;287443,0905;0,520947917;0,442157807;"0.82020000000000004";0,510269953;0,044593819;34,67484683;322,2979446;9,95598108550672;-0,401942058008933
"90";"MOLINA";4,09521241;10,7358748;45976;2;"0.28000000000000003";"0.65";"0.52049999999999996";7,264354818;290662,6996;0,415760104;0;"0.91649999999999998";0,581512003;0,125282756;32,98537109;361,5818471;18,37328875124;0,0855355053793571
"91";"MONTE PATRIA";2,38054933;10,33367779;30751;1;"0.53";"0.45";"0.34920000000000001";9,850534887;403998,765;0,470455169;0;"0.91";0,508407517;0,06263211;33,63259565;268,881012;5,70108451935176;-0,648358928213445
"92";"MOSTAZAL";5,79006977;10,14025784;12671,5;1;"0.87";"0.92";"0.4758";14,38109764;1101964,833;0,410554221;0;"0.72840000000000005";0,584406295;0,171013692;34,14254067;767,6572229;34,4453478094955;1,01632816491899
"93";"MULCHEN";1,83974295;10,29644139;29627;1;"0.45";"0.42";"0.29759999999999998";9,738438711;365847,5446;0,512276887;0;"0.9012";0,528223718;0,094947177;33,6077343;105,1067607;6,36847581934256;-0,609707818183274
"94";"NACIMIENTO";2,50895636;10,1778944;26315;0;"0.36";"0.41";"0.3095";8,483798492;262442,1987;0,453489957;0;"0.91439999999999999";0,513068182;0,244727342;38,21054442;0;6,48547485942708;-0,602931969034816
