SEMANA	OBS	UFM2_SUELO	UFM2_CASA	UFM2_DEPTO	IPSA	LIQUIDEZ	INFLACION	TI_HIPOTECARIA
201740	45	8.51	28.47	59.09	2.50	2425690.88	26663.89	3.21
201741	33	18.27	26.90	52.00	2.50	2526691.66	26669.33	3.18
201742	44	21.73	30.73	47.46	2.50	2485837.71	26657.27	3.29
201743	22	14.84	30.92	51.52	2.50	2489084.84	26645.22	3.25
201744	13	13.44	33.54	58.43	2.50	2407236.42	26633.18	3.28
201745	34	16.32	32.72	49.84	2.50	2438388.42	26622.55	3.27
201746	33	12.49	32.14	49.04	2.50	2467162.05	26651.29	3.28
201747	27	21.86	33.08	62.55	2.50	2393908.23	26688.51	3.34
201748	48	33.90	34.24	58.31	2.50	2549955.24	26725.79	3.39
201749	20	22.53	33.73	60.75	2.50	2374289.42	26763.12	3.40
201750	44	15.08	32.60	72.70	2.50	2535797.94	26782.59	3.41
201751	43	13.73	34.45	65.92	2.50	2438157.63	26788.64	3.44
201752	31	19.60	30.61	61.90	3.50	2463554.80	26350.53	3.61
201801	34	15.87	32.28	63.99	2.50	2555564.25	26800.73	3.54
201802	51	24.16	30.62	51.07	2.50	2651118.61	26806.78	3.51
201803	33	23.95	65.94	52.78	2.50	2673138.37	26812.84	3.48
201804	66	27.18	34.36	75.85	2.50	2631360.84	26818.89	3.51
201805	52	25.33	37.07	60.09	2.50	2542324.63	26824.94	3.54
201806	64	23.31	38.62	53.28	2.50	2488108.72	26831.00	3.54
201807	54	28.37	32.16	52.99	2.50	2581628.67	26856.64	3.54
201808	53	29.50	32.67	48.88	2.50	2539340.99	26890.15	3.55
201809	76	25.62	32.13	49.11	2.50	2527934.31	26923.70	3.53
201810	46	18.05	33.49	57.69	2.50	2485401.60	26957.29	3.51
201811	51	18.07	33.84	58.03	2.50	2569301.36	26966.89	3.50
201812	65	20.39	36.84	95.53	2.50	2489684.76	26966.89	3.53
201813	24	22.58	30.47	64.85	2.50	2536275.80	26966.89	3.56
201814	66	30.43	33.63	69.16	2.50	2448664.71	26966.89	3.47
201815	129	19.49	33.80	56.31	2.50	2514092.04	26970.48	3.52
201816	131	17.21	31.98	53.80	2.50	2490174.05	26983.06	3.50
201817	45	23.39	39.05	89.40	2.50	2544916.47	26995.64	3.48
201818	51	25.67	36.18	94.40	2.50	2362994.04	27008.23	3.40
201819	78	20.52	32.01	89.04	2.50	2482993.65	27021.31	3.45
201820	74	18.59	34.92	52.31	2.50	2464511.04	27039.10	3.48
201821	48	25.87	31.71	57.17	2.50	2493603.98	27057.40	3.46
201822	73	12.86	37.31	94.16	2.50	2515606.85	27075.71	3.40
201823	44	19.60	33.92	86.97	2.50	2345961.06	27094.03	3.37
201824	38	28.28	34.46	84.36	2.50	2528045.59	27112.71	3.42
201825	43	21.95	32.41	65.71	2.50	2476401.62	27131.66	3.47
201826	73	20.58	31.33	59.86	2.50	2503273.36	27150.63	3.35
201827	57	20.12	32.86	53.85	2.50	2342768.90	27169.62	3.29
201828	47	14.34	35.15	99.83	2.50	2493257.68	27184.94	3.41
201829	101	19.93	35.18	95.40	2.50	2505868.80	27191.08	3.34
201830	105	19.38	37.15	136.20	2.50	2540674.05	27197.22	3.34
201831	39	19.53	37.00	72.10	2.50	2464671.65	27203.36	3.32
201832	57	34.01	33.04	80.48	2.50	2435613.42	27210.02	3.29
201833	24	15.36	37.39	116.04	2.50	2496136.15	27231.40	3.32
201834	21	19.69	37.24	110.94	2.50	2599581.69	27255.96	3.33
201835	36	20.40	40.29	136.00	2.50	2577306.20	27280.54	3.26
201836	32	23.75	33.61	75.58	2.50	2385931.23	27305.14	3.19
201837	59	18.39	37.40	101.29	2.50	2672357.19	27324.67	3.27
201838	45	20.13	33.78	110.40	2.50	2644282.00	27337.41	3.24
201839	148	18.81	45.90	62.49	2.50	2797404.11	27350.16	3.23
201840	62	23.70	38.98	83.48	2.50	2584793.82	27362.91	3.18
201841	86	17.46	39.60	117.92	2.50	2597071.64	27376.66	3.18
201842	50	27.85	37.13	113.37	2.56	2628212.26	27395.02	3.18
201843	71	18.29	38.95	90.55	2.75	2692819.77	27413.56	3.17
201844	52	18.66	35.64	109.87	2.75	2615341.78	27432.10	3.17
201845	74	18.14	37.07	164.30	2.75	2530637.44	27450.67	3.20
201846	73	51.79	38.64	118.73	2.75	2624881.23	27474.24	3.25
201847	73	15.56	39.71	131.77	2.75	2630483.82	27499.85	3.27
201848	84	21.06	37.69	94.20	2.75	2530791.90	27525.47	3.23
201849	81	58.53	37.67	74.00	2.75	2502012.08	27551.13	3.24
201850	37	22.19	38.38	145.09	2.75	2619739.14	27565.79	3.30
201851	45	23.50	36.48	147.32	2.75	2578335.28	27565.79	3.27
201852	26	38.41	38.02	162.88	2.75	2737159.66	27565.79	3.27
201901	81	22.27	37.54	103.76	2.75	2699018.08	27565.79	3.29
201902	132	22.99	38.27	143.06	2.75	2762214.15	27565.26	3.27
201903	62	19.29	35.45	97.63	2.75	2781687.49	27559.56	3.25
201904	75	26.26	35.41	136.09	2.75	2743384.00	27553.34	3.26
201905	58	24.64	40.76	128.37	2.85	2755323.52	27547.11	3.24
201906	46	27.74	46.77	182.81	3.00	2542814.35	27540.89	3.24
201907	36	22.00	37.20	150.72	3.00	2630183.65	27542.15	3.27
201908	29	27.38	37.24	123.39	3.00	2619564.48	27549.04	3.28
201909	42	16.52	40.49	89.25	3.00	2654892.28	27555.92	3.22
201910	43	24.67	44.01	92.64	3.00	2583990.39	27562.81	3.18
201911	58	23.09	44.96	108.70	3.00	2715741.00	27565.76	3.16
201912	135	18.35	38.97	162.40	3.00	2716153.61	27565.76	3.16
201913	47	24.28	37.04	122.39	3.00	2778947.90	27565.76	3.19
201914	190	18.61	37.82	221.47	3.00	2648304.65	27565.76	3.19
201915	133	17.95	46.13	145.66	3.00	2722112.59	27571.26	3.12
201916	108	20.12	40.39	129.56	3.00	2773761.49	27602.45	3.09
201917	51	33.19	46.20	111.98	3.00	2759942.36	27634.59	3.08
201918	44	26.41	39.22	70.62	3.00	2667324.15	27666.77	3.01
201919	64	24.60	35.04	62.36	3.00	2572426.34	27698.60	3.02
201920	61	15.91	40.84	71.73	3.00	2721924.05	27719.66	2.95
201921	37	24.22	37.59	72.84	3.00	2699682.88	27738.41	2.91
201922	150	20.06	47.68	173.99	3.00	2769842.32	27757.18	2.89
201923	46	26.86	35.79	177.30	3.00	2614779.25	27775.96	2.84
201924	29	36.77	41.90	165.73	2.50	2723834.10	27803.33	2.82
201925	11	22.97	40.90	144.27	2.50	2677368.89	27842.16	2.91
201927	15	43.52	42.72	183.27	2.50	2544129.04	27920.00	2.73
201928	114	21.03	49.00	111.91	2.50	2626474.35	27952.31	2.58
201929	27	15.47	37.02	125.39	2.50	2657814.69	27953.42	2.53
201930	3	12.14	20.55	63.06	2.50	2743741.18	27953.42	2.53
