SEMANA	OBS	UFM2_SUELO	UFM2_CASA	UFM2_DEPTO	IPSA	LIQUIDEZ	INFLACION	TI_HIPOTECARIA
201209	27	8.39	22.41	54.87	5.00	1470833.60	22462.79	4.34
201210	39	9.50	23.40	69.76	5.00	1405824.80	22468.21	4.29
201211	21	12.42	20.93	45.51	5.00	1481039.80	22484.23	4.28
201212	39	6.98	22.23	30.84	5.00	1453504.40	22504.51	4.30
201213	35	18.02	22.27	52.49	5.00	1475564.20	22524.80	4.31
201214	36	23.88	21.41	44.58	5.00	1359375.60	22545.12	4.32
201215	33	5.16	20.94	36.39	5.00	1412305.80	22562.65	4.40
201216	21	9.89	21.82	35.67	5.00	1421352.00	22573.17	4.32
201217	33	7.89	23.85	33.42	5.00	1449531.40	22583.69	4.35
201218	30	13.18	25.52	39.72	5.00	1331132.40	22594.22	4.38
201219	36	8.61	24.28	39.92	5.00	1388662.80	22604.29	4.35
201220	51	8.12	23.36	40.76	5.00	1416357.40	22609.86	4.38
201221	32	10.39	23.09	36.51	5.00	1421367.00	22614.97	4.40
201222	34	7.39	23.14	48.55	5.00	1418555.20	22620.07	4.37
201223	28	9.30	23.87	46.57	5.00	1331238.80	22625.18	4.30
201224	37	10.89	24.34	54.04	5.00	1423701.00	22627.36	4.29
201225	41	13.13	23.23	61.22	5.00	1422179.40	22627.36	4.31
201226	28	7.75	22.40	45.35	5.00	1462329.60	22627.36	4.29
201227	29	18.63	22.00	59.65	5.00	1385012.20	22627.36	4.30
201228	34	15.18	23.47	49.67	5.00	1472603.80	22622.97	4.25
201229	21	17.07	24.14	40.43	5.00	1492258.80	22607.63	4.27
201230	35	9.27	24.50	52.41	5.00	1492532.60	22592.30	4.33
201231	47	10.00	25.79	52.19	5.00	1412894.00	22576.98	4.37
201232	23	8.18	24.53	61.93	5.00	1406239.00	22562.10	4.28
201233	31	10.33	23.69	51.04	5.00	1492321.20	22559.48	4.25
201234	34	10.00	26.01	69.87	5.00	1473808.40	22559.48	4.27
201235	44	9.32	24.83	43.21	5.00	1497032.80	22559.48	4.28
201236	28	10.95	24.11	57.85	5.00	1456869.20	22559.48	4.27
201237	34	7.81	26.75	53.35	5.00	1676103.80	22563.99	4.25
201238	14	9.84	24.63	58.63	5.00	1666237.80	22574.51	4.22
201239	32	11.76	25.57	55.39	5.00	1746497.80	22585.04	4.32
201240	36	9.77	25.12	59.87	5.00	1511629.40	22595.57	4.34
201241	25	14.72	25.60	36.81	5.00	1507584.20	22611.27	4.28
201242	33	7.28	23.09	67.49	5.00	1524733.40	22651.13	4.32
201243	40	9.54	25.35	52.01	5.00	1525336.20	22691.92	4.32
201244	27	16.46	27.66	44.94	5.00	1530353.60	22732.79	4.35
201245	32	21.24	26.05	41.06	5.00	1454808.20	22773.73	4.31
201246	43	16.46	24.78	37.92	5.00	1548201.80	22808.17	4.31
201247	36	9.97	26.29	54.33	5.00	1491147.80	22840.03	4.33
201248	37	10.75	23.29	45.41	5.00	1586840.40	22871.93	4.34
201249	44	9.29	22.32	67.45	5.00	1464227.60	22903.88	4.36
201250	26	12.16	22.16	43.91	5.00	1655145.80	22911.03	4.34
201251	41	10.65	25.76	57.52	5.00	1691970.20	22885.12	4.30
201252	20	9.34	24.92	59.99	5.25	1414381.20	22300.50	4.29
201301	23	10.25	22.38	45.24	5.00	1751498.60	22829.68	4.42
201302	20	6.95	28.30	49.47	5.00	1764224.60	22809.75	4.33
201303	35	17.68	26.11	57.41	5.00	1731551.20	22807.54	4.38
201304	35	8.53	24.79	54.94	5.00	1674986.00	22807.54	4.38
201305	31	9.22	25.32	41.89	5.00	1674469.60	22807.54	4.44
201306	41	9.86	25.78	51.73	5.00	1563631.60	22807.54	4.48
201307	42	14.41	27.20	41.09	5.00	1649252.80	22814.05	4.47
201308	37	16.50	23.56	47.46	5.00	1648207.20	22825.45	4.47
201309	26	8.44	26.56	44.91	5.00	1665812.40	22836.85	4.49
201310	29	9.59	23.78	55.50	5.00	1601759.80	22848.26	4.49
201311	37	15.15	23.38	39.31	5.00	1708130.40	22856.11	4.50
201312	24	10.62	23.25	57.28	5.00	1678995.60	22861.27	4.52
201313	18	9.37	25.95	68.95	5.00	1702385.40	22866.43	4.54
201314	34	13.57	22.71	52.83	5.00	1626398.60	22871.59	4.55
201315	24	6.87	24.89	40.38	5.00	1680122.20	22879.52	4.53
201316	30	19.89	25.93	52.10	5.00	1667697.60	22900.38	4.54
201317	33	10.29	25.04	43.91	5.00	1684364.20	22921.72	4.54
201318	17	12.72	27.54	41.58	5.00	1645345.00	22943.08	4.52
201319	19	17.60	25.19	41.72	5.00	1669137.80	22963.10	4.55
201320	25	13.19	25.85	39.12	5.00	1682074.40	22945.24	4.53
201321	33	13.16	22.36	39.99	5.00	1669185.40	22919.28	4.52
201322	39	10.66	25.39	42.43	5.00	1667697.20	22893.36	4.51
201323	28	12.86	24.43	48.84	5.00	1533530.40	22867.46	4.48
201324	46	13.31	25.03	49.99	5.00	1656389.00	22852.67	4.48
201325	47	9.30	24.80	31.96	5.00	1654486.20	22852.67	4.47
201326	30	10.99	29.07	50.06	5.00	1682620.60	22852.67	4.45
201327	28	11.96	25.02	29.18	5.00	1558216.80	22852.67	4.44
201328	38	10.35	22.66	37.71	5.00	1648626.60	22857.96	4.47
201329	15	9.30	22.44	46.71	5.00	1694621.00	22887.98	4.49
201330	35	13.17	26.58	57.45	5.00	1712382.00	22918.91	4.46
201331	28	11.46	25.86	46.56	5.00	1686794.40	22949.89	4.42
201332	26	7.07	27.49	43.53	5.00	1673660.00	22980.92	4.44
201333	35	6.78	25.19	37.93	5.00	1768490.40	23000.90	4.45
201334	28	6.13	25.68	43.53	5.00	1731868.40	23016.46	4.45
201335	34	12.22	23.89	46.55	5.00	1795558.80	23032.04	4.46
201336	36	9.25	24.61	38.75	5.00	1804034.80	23047.62	4.52
201337	17	10.09	21.17	38.31	5.00	1987622.20	23061.83	4.43
201338	14	8.27	25.79	51.60	5.00	1941412.60	23072.59	4.37
201339	21	8.47	22.73	38.40	5.00	2080933.00	23083.34	4.38
201340	29	11.36	24.49	39.26	5.00	1827879.80	23094.11	4.39
201341	38	10.73	31.94	51.94	5.00	1859171.60	23106.19	4.40
201342	48	12.42	24.42	46.76	4.95	1851374.20	23130.92	4.39
201343	32	13.08	24.25	39.26	4.75	1813211.80	23156.98	4.41
201344	20	14.54	19.49	42.45	4.75	1819497.00	23183.08	4.39
201345	29	11.63	21.47	42.66	4.75	1740753.00	23209.20	4.40
201346	30	10.00	25.38	56.49	4.75	1828354.80	23223.49	4.42
201347	30	16.22	26.63	50.80	4.60	1747293.00	23228.91	4.41
201348	30	10.34	25.26	44.20	4.50	1823989.40	23234.33	4.34
201349	27	12.44	23.10	50.72	4.50	1792625.80	23239.75	4.35
201350	20	10.50	22.73	56.91	4.50	1951066.00	23249.61	4.43
201351	19	9.40	22.28	48.48	4.50	1990572.00	23270.57	4.35
201352	10	18.18	23.29	40.03	4.50	2071115.20	23291.56	4.35
201401	32	11.43	25.73	61.46	4.50	1976330.20	23318.57	4.36
201402	50	10.09	25.98	62.19	4.50	2129744.60	23333.89	4.36
201403	41	9.67	25.29	49.91	4.50	2028816.00	23363.63	4.34
201404	50	11.82	24.51	42.76	4.50	1949477.40	23395.21	4.32
201405	34	9.26	24.55	39.88	4.50	1907642.60	23426.83	4.30
201406	38	10.82	23.71	46.72	4.50	1749242.80	23458.50	4.31
201407	43	7.71	25.94	54.02	4.50	1857863.00	23481.64	4.31
201408	45	8.88	24.62	47.04	4.35	1960340.20	23493.37	4.32
201409	36	12.81	26.34	54.73	4.25	1961309.20	23505.11	4.30
201410	39	11.48	23.49	47.33	4.25	1807202.80	23516.85	4.30
201411	30	8.13	22.75	52.05	4.20	1903162.60	23534.92	4.33
201412	22	8.12	24.54	45.60	4.00	1903378.40	23561.44	4.30
201413	35	14.81	25.46	54.93	4.00	1965600.40	23587.99	4.30
201414	40	10.49	24.05	44.23	4.00	1824097.20	23614.57	4.28
201415	61	10.19	23.47	55.19	4.00	1854431.40	23642.66	4.30
201416	33	9.87	26.36	62.10	4.00	1888090.40	23685.18	4.27
201417	56	8.63	25.35	91.53	4.00	1913283.60	23729.25	4.26
201418	36	12.24	25.42	71.74	4.00	1900697.00	23773.41	4.23
201419	44	13.09	25.77	104.25	4.00	1842999.80	23817.66	4.27
